name,time,AccX,AccY,AccZ,MagX,MagY,MagZ,deposit,gas,id,latitude,longitude,temperature
vehicledataset,1636543167643000000,-0.31971191,0.11719108,1.0693686,50,32,60,0,0,1,41.790783,1.9629833,26.591997
vehicledataset,1636543168643000000,-0.073366497,-0.12268441,1.1715445,44,38,58,0,0,1,41.790783,1.9629833,26.448229
vehicledataset,1636543169643000000,0.021118809,-0.11267434,1.2836085,30,34,65,0,0,1,41.790917,1.96315,26.496151
vehicledataset,1636543170643000000,-0.077761162,-0.017090365,1.2554094,23,30,73,0,0,1,41.790917,1.96315,26.256536
vehicledataset,1636543171643000000,-0.0075685904,-0.033936583,1.0910978,9,23,76,0,0,1,41.791067,1.9631667,26.256536
vehicledataset,1636543172643000000,-0.2920011,0.13794366,0.76137577,11,15,80,0,0,1,41.791067,1.9631667,26.448229
vehicledataset,1636543173643000000,0.047242653,0.58058412,1.1796014,7,9,74,0,0,1,41.791217,1.96305,26.304461
vehicledataset,1636543174643000000,-0.064210944,-0.006591998,0.75698111,1,0,73,0,0,1,41.791217,1.96305,26.496151
vehicledataset,1636543175643000000,-0.15015107,0.054689169,0.7165746,-8,-2,74,0,0,1,41.791317,1.9628167,26.448229
vehicledataset,1636543176643000000,-0.064455092,0.30164495,0.92263558,-5,1,71,0,0,1,41.791317,1.9628167,26.496151
vehicledataset,1636543177643000000,-0.14160588,0.49061556,0.85732597,-7,1,72,0,0,1,41.791333,1.9625,26.591997
vehicledataset,1636543178643000000,-0.15295877,-0.13818781,0.85757012,-5,-1,69,0,0,1,41.791333,1.9625,26.448229
vehicledataset,1636543179643000000,-0.28064821,0.019775994,1.0179754,-8,-4,72,0,0,1,41.791333,1.96215,26.496151
vehicledataset,1636543180643000000,-0.0098879971,-0.24634541,0.95901364,-5,0,75,0,0,1,41.791333,1.96215,26.735765
vehicledataset,1636543181643000000,-0.14050722,0.41602832,0.76296274,-12,-3,65,0,0,1,41.791317,1.9617833,26.735765
vehicledataset,1636543182643000000,-0.12891018,-0.023071993,0.9140904,-11,-1,65,0,0,1,41.791317,1.9617833,26.735765
vehicledataset,1636543183643000000,-0.14319285,-0.14539018,1.0583819,-15,4,68,0,0,1,41.7913,1.9614,26.97538
vehicledataset,1636543184643000000,-0.052125614,0.093508713,0.93655202,-11,8,71,0,0,1,41.7913,1.9614,26.735765
vehicledataset,1636543185643000000,-0.20935698,0.077272866,0.81191443,-8,7,71,0,0,1,41.791283,1.9610333,26.735765
vehicledataset,1636543186643000000,-0.27674184,0.13159581,0.76393933,-13,5,70,0,0,1,41.791283,1.9610333,26.783688
vehicledataset,1636543187643000000,-0.26233711,-0.12610248,0.868923,-9,9,67,0,0,1,41.791317,1.9606667,26.783688
vehicledataset,1636543188643000000,-0.16565447,0.072145756,0.80007324,-10,13,72,0,0,1,41.791317,1.9606667,26.927456
vehicledataset,1636543189643000000,-0.39478744,0.063966796,0.86306345,-6,12,67,0,0,1,41.791317,1.9603167,26.783688
vehicledataset,1636543190643000000,-0.22327342,-0.13489181,0.8120365,-8,11,72,0,0,1,41.791317,1.9603167,26.927456
vehicledataset,1636543191643000000,-0.14661092,-0.17786187,1.3104648,-14,10,62,0,0,1,41.791383,1.9599833,26.831612
vehicledataset,1636543192643000000,-0.16138188,0.059083834,0.90163884,-14,18,56,0,0,1,41.791383,1.9599833,27.119148
vehicledataset,1636543193643000000,-0.14233833,0.1528367,1.1236915,-13,25,53,0,0,1,41.791433,1.9597167,26.927456
vehicledataset,1636543194643000000,-0.077517014,-0.17212439,1.3640553,-1,32,55,0,0,1,41.791517,1.9595,26.735765
vehicledataset,1636543195643000000,0.034180731,0.055055391,0.64772485,8,34,64,0,0,1,41.791517,1.9595,26.831612
vehicledataset,1636543196643000000,0.03173925,-0.12756737,1.3301187,13,38,67,0,0,1,41.79165,1.9593833,26.97538
vehicledataset,1636543197643000000,-0.0034180731,0.012329478,1.2123173,17,35,67,0,0,1,41.79165,1.9593833,26.927456
vehicledataset,1636543198643000000,-0.31287576,-0.23096408,1.0190741,19,38,65,0,0,1,41.791833,1.95935,26.831612
